created_at,loc,sentiment,subjectivity,text,user_id,verified
2020-07-06 00:00:00+00:00,GA,0.0,0.0,enclosed spaces with clusters people sharing food talking loudly drinking alcohol raise risks covid transmis,u174250,0
2020-07-06 00:00:00+00:00,FL,0.0,0.0,eeuu novia hijo mayor trump positivo covid https pcrbfcoxf,u1990223,0
2020-07-06 00:00:01+00:00,AL,0.0,0.0,amaka_ekwo covid didnt fulani jihadists nigeria ngrpresident allows because fulani religio,u1317638,0
2020-07-06 00:00:01+00:00,WI,-0.0875,0.3333333333333333,sjocello chief medical doctor houston fighting wars first covid virus second stupidity that about sums,u1868,0
2020-07-06 00:00:01+00:00,FL,0.0,0.0,steverustad americans died ebola when obama president furious 130000 americans have died covid,u2814249,0
2020-07-06 00:00:02+00:00,MA,0.0,0.75,head refuses address trump claim that covid cases totally harmless https xqqdpzpolv,u1112254,0
2020-07-06 00:00:02+00:00,TX,0.0,0.0,dejachanels brother just passed away because covid please please please wear your masks,u684401,0
2020-07-06 00:00:02+00:00,CA,0.0,0.0,grahamelwood check this think they going died from covid https qxbdylx,u2737808,0
2020-07-06 00:00:02+00:00,CA,0.0,0.0,dejachanels brother just passed away because covid please please please wear your masks,u1280434,0
2020-07-06 00:00:02+00:00,NJ,0.0,0.06666666666666668,senschumer what senate republicans blocked last week rental assistance food assistance funding covid testing tracing protec,u249461,0
2020-07-06 00:00:03+00:00,GA,0.0,0.3,deaths have fallen covid about lose classification pandemic already hear https avty ao0ne,u470329,0
2020-07-06 00:00:03+00:00,OR,0.0,0.0,alexberenson odds that media will report these lowestsincemarch covid death counts slim odds they will suuuuperexcited,u25744,0
2020-07-06 00:00:03+00:00,MD,0.8,0.75,loganxhardcore this covid sitting beach fire island great https q5ctuoxdbt,u272465,0
2020-07-06 00:00:03+00:00,IL,0.15000000000000002,0.15000000000000002,mrntweet william barr orders legal action against governors whose covid actions infringe civil rights https p8mukrdlnm,u29479,0
2020-07-06 00:00:04+00:00,MT,0.5,0.5,ryanafournier there spike covid cases because increased testing gave more tests there spike,u233031,0
2020-07-06 00:00:04+00:00,CA,0.0,0.06666666666666668,senschumer what senate republicans blocked last week rental assistance food assistance funding covid testing tracing protec,u2692257,0
2020-07-06 00:00:04+00:00,LA,0.6,1.0,corona leave alone lmao,u2754276,0
2020-07-06 00:00:04+00:00,OR,0.275,0.7,mmpadellan realdonaldtrump its covid coronavirus jackass cases because more people catching more,u132501,0
2020-07-06 00:00:04+00:00,KS,-0.2404761904761905,0.5714285714285715,rbreich death rate from covid navajo nation higher than single state should outraged sufferin,u606254,0
2020-07-06 00:00:04+00:00,KS,-0.3,0.825,tribelaw trump lies dangerously when says worry because covid cases totally insignificant asked that,u21052,0
2020-07-06 00:00:05+00:00,TX,0.5,0.5,ryanafournier there spike covid cases because increased testing gave more tests there spike,u524540,0
2020-07-06 00:00:05+00:00,MI,0.0,0.0,watch sharpton factchecks conservative hugh hewitt claiming george floyd blame covid spikes https e9yiyuqjnt,u49143,0
