created_at,loc,sentiment,subjectivity,text,user_id,verified
2020-03-05 20:37:08+00:00,WA,0.0,0.0,donalhassett looking ward corona virus while also marking seachtain gaeilge recommend singing verse chorus,u1,0
2020-03-05 20:37:09+00:00,MI,0.0,0.0,atrupar this clip trump denies whos coronavirus death rate based hunch calls coronavirus corona suggests,u2,0
2020-03-05 20:37:09+00:00,IN,0.0,0.0,_katelynhall stop corona 2020 kony platform,u3,0
2020-03-05 20:37:11+00:00,AL,0.2,0.5,employee amazon been confirmed have corona virus that means have sunday order next hours,u4,0
2020-03-05 20:37:11+00:00,HI,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u5,0
2020-03-05 20:37:12+00:00,FL,0.0,0.0,ignaciochans coronavirus deja teritos principales actividades 2020 cancelado world school festival,u6,1
2020-03-05 20:37:12+00:00,TX,-0.625,1.0,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u7,0
2020-03-05 20:37:13+00:00,NY,0.0,0.0,realdonaldtrump obama made isis trump made corona,u8,0
2020-03-05 20:37:15+00:00,LA,0.1,0.2,theovon does anyone actually know someone with corona virus like real person animal else,u9,0
2020-03-05 20:37:16+00:00,NC,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u10,0
2020-03-05 20:37:16+00:00,FL,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u11,0
2020-03-05 20:37:17+00:00,TX,0.325,0.8250000000000001,evan_p_grant march gallon hand sanitizer night april dollar dogs free corona virus april odor mask night,u12,0
2020-03-05 20:37:18+00:00,CA,-0.16666666666666666,0.06666666666666668,skiamercury brybrown teaspillyt flue kills less than percent those infected corona killing around https xy70ln,u13,0
2020-03-05 20:37:18+00:00,CO,-0.6999999999999998,0.6666666666666666,rand paul threatening hold corona virus emergency bill this time remind everyone https yibsxqer,u14,0
2020-03-05 20:37:19+00:00,TX,0.05833333333333335,0.425,watnunu free brainpop access schools closed coronavirus https e0tvau coronavirus onlinelearning,u15,0
2020-03-05 20:37:19+00:00,NH,0.0,0.0,catalinmpit salaton corona like maybe next year,u16,0
2020-03-05 20:37:20+00:00,WA,0.5,0.5,corona virus news update follow more update coronovirus clifornia wasinton florida https dgvre,u17,0
2020-03-05 20:37:24+00:00,IA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u18,0
2020-03-05 20:37:25+00:00,WA,-0.625,1.0,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u19,0
2020-03-05 20:37:25+00:00,AL,0.0,0.0,corona would have been healthier option,u20,0
2020-03-05 20:37:25+00:00,CO,0.0,0.0,atrupar this clip trump denies whos coronavirus death rate based hunch calls coronavirus corona suggests,u21,0
2020-03-05 20:37:26+00:00,WA,0.0,0.0,focused corona virus bill passed with randpaul course,u22,0
2020-03-05 20:37:27+00:00,IL,-0.625,1.0,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u23,0
2020-03-05 20:37:27+00:00,NY,0.0,0.0,corona coach https lvxqn lb0k wordpressdotcom,u24,0
2020-03-05 20:37:28+00:00,CA,0.0,0.0,corona virus come brah idgf activates idgf mode corona virus https jaqqe,u25,0
2020-03-05 20:37:29+00:00,MO,-0.1,0.2,sxsw should team remote screenings kansascity amidst corona concerns sxsw panic fest https jyhpi,u26,0
2020-03-05 20:37:30+00:00,MI,0.0,0.0,jay_rebel need make another trip after corona season over https zvms gdhgo,u27,0
2020-03-05 20:37:31+00:00,KY,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u28,0
2020-03-05 20:37:31+00:00,NY,-0.625,1.0,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u29,0
2020-03-05 20:37:31+00:00,CA,0.0,0.0,dailycaller ewarren toasting this news with corona three,u30,0
2020-03-05 20:37:31+00:00,NH,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u31,0
2020-03-05 20:37:33+00:00,CA,0.2,0.30000000000000004,baldboyblues corona virus real,u32,0
2020-03-05 20:37:35+00:00,FL,-0.033333333333333326,0.458974358974359,adazzlinhaze more people from regular fucking every year than number people have died from corona virus,u33,0
2020-03-05 20:37:36+00:00,TX,0.0,0.0,grooovybee meth mistook molly 2014 corona virus vaccine,u34,0
2020-03-05 20:37:37+00:00,TX,0.0,0.0,betito _214 what corona virus gift that north korea talking about https ifaolscwvq,u35,0
2020-03-05 20:37:38+00:00,NE,0.6,0.7444444444444445,corona virus ends tossing into world like stand dont worry sure good people will https ytvwkj,u36,0
2020-03-05 20:37:38+00:00,MO,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u37,0
2020-03-05 20:37:40+00:00,CA,0.0,0.0,zyphalopagus corona virus just yoinked minecraft capes,u38,0
2020-03-05 20:37:42+00:00,MO,0.1,0.2,theovon does anyone actually know someone with corona virus like real person animal else,u39,0
2020-03-05 20:37:42+00:00,FL,0.25,0.4777777777777778,tkmatakanye sure corona virus rounds slaaaaap imagine knowing these your last rounds south huns about,u40,0
2020-03-05 20:37:42+00:00,MA,0.0,0.0,hurrybil alert corona virus spread through billie eilish merch have some merch home some gloves,u41,0
2020-03-05 20:37:43+00:00,TX,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u42,0
2020-03-05 20:37:44+00:00,TX,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u43,0
2020-03-05 20:37:44+00:00,VA,0.25,0.75,adeh march trump said help iranians with this problem corona certainly willing they,u44,0
2020-03-05 20:37:45+00:00,NC,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u45,0
2020-03-05 20:37:45+00:00,IL,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u46,0
2020-03-05 20:37:46+00:00,CA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u47,0
2020-03-05 20:37:48+00:00,WA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u48,0
2020-03-05 20:37:48+00:00,UT,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u49,0
2020-03-05 20:37:50+00:00,IL,0.0,0.0,szafernanda corona virus puede matar mori quitaron julion apple music,u50,0
2020-03-05 20:37:51+00:00,CA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u51,0
2020-03-05 20:37:52+00:00,CA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u52,0
2020-03-05 20:37:52+00:00,MD,0.25,0.75,hawaiidelilah only president suggest that would okay work with coronavirus refers,u53,0
2020-03-05 20:37:54+00:00,FL,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u54,0
2020-03-05 20:37:54+00:00,VA,-0.625,1.0,jaboukie corona wouldn that quarantine would give time catch shows stuff read writ,u55,0
2020-03-05 20:37:54+00:00,IN,0.0,0.2,corporate panicking about corona virus made individually wrapped snacks prospects https naipf exrq,u56,0
2020-03-05 20:37:55+00:00,ME,0.0,0.0,lawyerlauren patriarchy mmmmmyyyyy corona,u57,0
2020-03-05 20:37:55+00:00,FL,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u58,0
2020-03-05 20:37:55+00:00,IL,1.0,1.0,sarahcpr atrupar trump america greatest percentage people dying from corona virus than anywhere else world,u59,0
2020-03-05 20:37:55+00:00,TX,0.8,0.7,suis sûre blancs meurent corona virus peux survivre palu mourir https d5iqi3tzpe,u60,0
2020-03-05 20:37:56+00:00,MN,-0.05,0.15,thomaskaine strange trump republicans response coronavirus makes wonder they want spread throughout,u61,0
2020-03-05 20:37:57+00:00,KY,0.0,0.0,realpatriot _911 mayor pete gets corona virus mask https dknxgsxdjs,u62,0
2020-03-05 20:37:58+00:00,NY,0.0,0.0,grooovybee meth mistook molly 2014 corona virus vaccine,u63,0
2020-03-05 20:38:00+00:00,WA,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u64,0
2020-03-05 20:38:01+00:00,NY,0.0,0.0,realdonaldtrump obama made isis trump made corona,u8,0
2020-03-05 20:38:01+00:00,IL,-0.5,0.9,lets mass panic about coronavirus nothing could ever wrong with mass panic know besides riots https jbby hnnnu,u65,0
2020-03-05 20:38:01+00:00,CA,0.0,0.0,kbabyspiders walking around with pantyliner taped face coworker know that protect from coronavirus,u66,0
2020-03-05 20:38:02+00:00,TX,0.11458333333333333,0.625,bjheart california just declared state emergency corona virus state with vast amounts wealth more than 150,u67,0
2020-03-05 20:38:02+00:00,PA,-0.033333333333333326,0.458974358974359,adazzlinhaze more people from regular fucking every year than number people have died from corona virus,u68,0
2020-03-05 20:38:02+00:00,NY,-0.06666666666666668,0.4666666666666667,hayxsmith folks when corona virus isnt deal only kills disabled elderly chornicallyill immunocomp,u69,0
2020-03-05 20:38:03+00:00,TX,0.25,0.2,collabrarian just talked about corona virus today while exploring exponential growth thanks reference,u70,0
2020-03-05 20:38:04+00:00,WA,0.0,0.0,scared corona terrified people reacting,u71,0
2020-03-05 20:38:04+00:00,NC,0.43,0.5700000000000001,realwillmeade companies with good balance sheets will survive corona upcoming recession companies with high debt loads,u72,0
2020-03-05 20:38:05+00:00,TX,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u73,0
2020-03-05 20:38:05+00:00,CA,0.0,0.0,szafernanda corona virus puede matar mori quitaron julion apple music,u74,0
2020-03-05 20:38:05+00:00,OH,0.0,0.0,flintgregtall corona virus work hoping just fuckin already,u75,0
2020-03-05 20:38:07+00:00,OH,0.4166666666666667,0.5,ashcoyote fine week before corona hmmm,u76,0
2020-03-05 20:38:09+00:00,TX,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u77,0
2020-03-05 20:38:10+00:00,NJ,0.13636363636363635,0.4545454545454545,mshaikisho someone said this corona virus every time hits country https wimwkoxqgv,u78,0
2020-03-05 20:38:12+00:00,PA,0.35,0.65,morrisanimal jaketapper this sweet puppy named corona before that made news worried will adopt,u79,0
2020-03-05 20:38:12+00:00,MD,0.0,0.0,stayfrea alert corona virus spread through money have money home some gloves,u80,0
2020-03-05 20:38:13+00:00,AL,0.0,0.0,stormisuponus this enemy occupied states like california resorting declaring state emergency over corona viru,u81,0
2020-03-05 20:38:15+00:00,CA,-0.4166666666666666,0.6666666666666666,skynews cares have serious issues like corona virus,u82,0
2020-03-05 20:38:15+00:00,TX,0.4,0.6,mschlapp david america leading response corona trump made wise early decisions should rooting succes,u83,0
2020-03-05 20:38:18+00:00,CA,0.0,0.0,corona virus people acting like weirdos,u84,0
